ICAO,PHASE,RANGE_NM,SECTOR,SECTOR_LABEL,SECTOR_SEQ,BEARING_FROM,BEARING_TO,RANGE_NORTH_OVERRUN,SECTOR_CROSSES_NORTH,DECISION_STATUS,DECISION_NOTE
EGKK,DEP,100,BRG195-280,DEP BRG195-280,4,195,280,FALSE,FALSE,PENDING_SEAM,Merge the 245-degree cut; weighted pooled P20 shift is 5 seconds with no movements above an 80-second shift.
EGKK,DEP,100,BRG280-315,DEP BRG280-315,5,280,315,FALSE,FALSE,PENDING_SEAM,Retain the 280-degree cut; pooling it changes the 26L MT reference by 139 seconds across 171 flights.
EGKK,DEP,100,BRG315-000,DEP BRG315-000,6,315,0,FALSE,FALSE,PENDING_SEAM,Retain the selected boundary pending a human-readable representation of the non-overrunning North seam.
EHAM,DEP,40,BRG350-070,DEP BRG350-070,1,350,70,TRUE,TRUE,APPROVED,Use the 350-degree North seam at the observed valley floor.
EHAM,DEP,40,BRG070-140,DEP BRG070-140,2,70,140,TRUE,FALSE,APPROVED,Retain the clear candidate boundary.
EHAM,DEP,40,BRG140-175,DEP BRG140-175,3,140,175,TRUE,FALSE,APPROVED,Retain the clear candidate boundary.
EHAM,DEP,40,BRG175-225,DEP BRG175-225,4,175,225,TRUE,FALSE,APPROVED,Retain the clear candidate boundary.
EHAM,DEP,40,BRG225-280,DEP BRG225-280,5,225,280,TRUE,FALSE,APPROVED,Retain the clear candidate boundary.
EHAM,DEP,40,BRG280-350,DEP BRG280-350,6,280,350,TRUE,FALSE,APPROVED,Retain the protected 280-degree boundary.
EHAM,DEP,100,BRG350-070,DEP BRG350-070,1,350,70,TRUE,TRUE,APPROVED,Use the 350-degree North seam at the observed valley floor.
EHAM,DEP,100,BRG070-145,DEP BRG070-145,2,70,145,TRUE,FALSE,APPROVED,Merge the shallow 110-degree cut; weighted pooled P20 shift is 7 seconds.
EHAM,DEP,100,BRG145-180,DEP BRG145-180,3,145,180,TRUE,FALSE,APPROVED,Retain the clear candidate boundary.
EHAM,DEP,100,BRG180-225,DEP BRG180-225,4,180,225,TRUE,FALSE,APPROVED,Retain the clear candidate boundary.
EHAM,DEP,100,BRG225-275,DEP BRG225-275,5,225,275,TRUE,FALSE,APPROVED,Retain the clear candidate boundary.
EHAM,DEP,100,BRG275-350,DEP BRG275-350,6,275,350,TRUE,FALSE,APPROVED,Retain the clear candidate boundary.
LEBL,DEP,40,BRG030-140,DEP BRG030-140,1,30,140,TRUE,FALSE,APPROVED,Use the 030-degree North seam and merge the shallow 095-degree cut; weighted pooled P20 shift is 17 seconds.
LEBL,DEP,40,BRG140-190,DEP BRG140-190,2,140,190,TRUE,FALSE,APPROVED,Retain the clear candidate boundary.
LEBL,DEP,40,BRG190-260,DEP BRG190-260,3,190,260,TRUE,FALSE,APPROVED,Merge the shallow 230-degree cut and move the following rounded valley boundary from 265 to 260 degrees.
LEBL,DEP,40,BRG260-300,DEP BRG260-300,4,260,300,TRUE,FALSE,APPROVED,Retain the 300-degree cut; its conditional weighted P50 difference is 86 seconds.
LEBL,DEP,40,BRG300-030,DEP BRG300-030,5,300,30,TRUE,TRUE,APPROVED,North-overrun sector.
LEBL,DEP,100,BRG030-140,DEP BRG030-140,1,30,140,TRUE,FALSE,APPROVED,Use the 030-degree North seam and merge the 090-degree cut; weighted pooled P20 shift is 19 seconds.
LEBL,DEP,100,BRG140-205,DEP BRG140-205,2,140,205,TRUE,FALSE,APPROVED,Retain the protected 140-degree boundary.
LEBL,DEP,100,BRG205-275,DEP BRG205-275,3,205,275,TRUE,FALSE,APPROVED,Merge the 240-degree cut; weighted pooled P20 shift is 26 seconds.
LEBL,DEP,100,BRG275-315,DEP BRG275-315,4,275,315,TRUE,FALSE,APPROVED,Retain the clear candidate boundary.
LEBL,DEP,100,BRG315-030,DEP BRG315-030,5,315,30,TRUE,TRUE,APPROVED,North-overrun sector.
EGLL,DEP,40,BRG025-080,DEP BRG025-080,1,25,80,TRUE,FALSE,APPROVED,Retain the clear candidate sector.
EGLL,DEP,40,BRG080-140,DEP BRG080-140,2,80,140,TRUE,FALSE,APPROVED,Retain the clear candidate sector.
EGLL,DEP,40,BRG140-205,DEP BRG140-205,3,140,205,TRUE,FALSE,APPROVED,Retain the clear candidate sector.
EGLL,DEP,40,BRG205-255,DEP BRG205-255,4,205,255,TRUE,FALSE,APPROVED,Retain the clear candidate sector.
EGLL,DEP,40,BRG255-310,DEP BRG255-310,5,255,310,TRUE,FALSE,APPROVED,Retain the clear candidate sector.
EGLL,DEP,40,BRG310-025,DEP BRG310-025,6,310,25,TRUE,TRUE,APPROVED,North-overrun sector.
EGLL,DEP,100,BRG025-080,DEP BRG025-080,1,25,80,TRUE,FALSE,APPROVED,Move the North seam from 000 to 025 and the 085 candidate cut to 080 for a balanced sector.
EGLL,DEP,100,BRG080-125,DEP BRG080-125,2,80,125,TRUE,FALSE,APPROVED,Retain the valley-safe 125-degree boundary.
EGLL,DEP,100,BRG125-195,DEP BRG125-195,3,125,195,TRUE,FALSE,APPROVED,Retain the clear candidate boundary.
EGLL,DEP,100,BRG195-265,DEP BRG195-265,4,195,265,TRUE,FALSE,APPROVED,Merge the 235-degree cut; weighted pooled P20 shift is 6 seconds and no movements exceed an 80-second shift.
EGLL,DEP,100,BRG265-310,DEP BRG265-310,5,265,310,TRUE,FALSE,APPROVED,Retain the clear candidate boundary.
EGLL,DEP,100,BRG310-025,DEP BRG310-025,6,310,25,TRUE,TRUE,APPROVED,North-overrun sector.
